ID,Soil_pH,Organic_C (%),Total_N (%),C_N_Ratio,Land_Use_Type,Soil_Depth_cm,Bacteria_Abundance (%),Fungi_Abundance (%),β_Glucosidase (µmol/g/h),Urease (µmol/g/h),CO2_Emission (µg/g/day),NH4_Nitrate (µg/g)
41274,6.24,1.81,0.087,20.8,Traditional,0–10,33.32,20.11,4.43,7.21,49.24,107.16
41275,7.36,3.88,0.174,22.3,Traditional,0–10,35.96,20.42,6.12,12.48,59.46,194.16
41276,7.19,3.06,0.123,24.9,Traditional,10–20,42.25,38.87,5.42,9.35,55.18,143.14
41277,7.2,3.23,0.131,24.7,Traditional,10–20,57.07,32.99,5.59,9.89,56.17,150.74
41278,6.66,3.87,0.132,29.3,Organic,0–10,34.18,32.64,6.13,9.86,59.26,152.08
41279,7.23,3.67,0.075,48.9,Organic,10–20,38.06,24.8,5.87,6.52,58.37,94.9
41280,7.06,1.06,0.106,10.0,Organic,10–20,33.04,44.14,3.81,8.47,45.38,126.24
41281,7.41,2.11,0.117,18.0,Monoculture,0–10,53.95,47.33,4.61,9.04,50.51,137.02
41282,5.63,2.0,0.155,12.9,Monoculture,10–20,35.95,31.43,4.62,11.31,49.91,175.29
41283,5.56,3.8,0.09,42.2,Monoculture,10–20,43.79,43.76,6.0,7.35,58.97,110.15
41284,5.85,1.03,0.067,15.4,Organic,10–20,55.96,41.31,3.82,6.05,45.05,86.97
41285,7.36,1.06,0.174,6.1,Organic,10–20,37.54,28.94,3.88,12.36,45.21,193.85
41286,6.71,1.7,0.06,28.3,Monoculture,10–20,48.58,37.17,4.31,5.65,48.54,80.05
41287,6.35,1.81,0.152,11.9,Traditional,10–20,31.67,23.51,4.47,11.15,49.02,172.12
41288,6.53,1.58,0.088,18.0,Monoculture,0–10,46.39,31.75,4.17,7.29,47.93,108.2
41289,7.16,1.3,0.231,5.6,Traditional,0–10,46.06,35.8,4.09,15.79,46.67,250.91
41290,7.36,3.31,0.239,13.8,Traditional,0–10,44.52,20.77,5.64,16.41,56.62,258.87
41291,6.96,1.55,0.051,30.4,Monoculture,0–10,39.5,49.01,4.21,5.08,47.72,70.81
41292,7.02,3.23,0.186,17.4,Organic,0–10,44.25,42.46,5.73,13.1,56.09,206.12
41293,6.14,2.6,0.116,22.4,Monoculture,10–20,36.72,49.63,5.16,9.01,53.22,136.2
41294,6.43,4.01,0.069,58.1,Traditional,10–20,45.05,28.58,6.17,6.14,59.89,89.16
41295,7.27,1.94,0.203,9.6,Monoculture,0–10,32.09,37.01,4.46,14.16,49.77,222.74
41296,7.07,4.45,0.243,18.3,Traditional,0–10,59.32,48.05,6.52,16.63,62.32,263.21
41297,6.87,2.94,0.116,25.3,Traditional,0–10,56.56,30.7,5.28,9.01,54.88,135.77
41298,5.63,4.38,0.113,38.8,Traditional,0–10,57.1,33.32,6.64,8.79,61.89,133.1
41299,5.58,3.27,0.077,42.5,Organic,10–20,59.54,39.41,5.62,6.63,56.37,97.28
41300,5.76,1.83,0.185,9.9,Traditional,0–10,30.69,40.71,4.48,13.22,49.05,205.1
41301,6.66,2.05,0.217,9.4,Monoculture,10–20,55.01,27.55,4.64,14.95,50.53,236.77
41302,6.57,1.55,0.059,26.3,Traditional,10–20,41.46,23.92,4.28,5.6,47.85,79.22
41303,7.39,2.49,0.18,13.8,Traditional,10–20,59.57,40.74,5.0,12.78,52.5,199.93
41304,6.89,2.15,0.196,11.0,Monoculture,0–10,35.35,31.61,4.75,13.76,50.71,216.05
41305,6.09,1.88,0.163,11.5,Monoculture,10–20,35.45,26.6,4.45,11.77,49.44,183.12
41306,5.82,1.7,0.108,15.7,Traditional,10–20,54.65,37.94,4.39,8.56,48.46,128.21
41307,7.2,3.93,0.093,42.3,Traditional,0–10,55.75,30.39,6.13,7.63,59.75,113.17
41308,6.42,3.94,0.06,65.7,Traditional,0–10,58.31,41.41,6.13,5.57,59.73,80.48
41309,6.81,2.9,0.086,33.7,Traditional,10–20,47.09,32.15,5.27,7.12,54.57,106.07
41310,6.63,3.12,0.245,12.7,Monoculture,10–20,30.13,21.86,5.49,16.71,55.68,265.03
41311,5.71,2.47,0.168,14.7,Monoculture,0–10,55.62,35.72,4.93,12.0,52.5,188.09
41312,5.61,3.19,0.082,38.9,Monoculture,10–20,42.75,25.96,5.57,6.97,55.93,101.86
41313,6.25,3.76,0.184,20.4,Monoculture,0–10,40.58,46.62,6.08,13.1,58.79,203.92
41314,6.22,2.71,0.194,14.0,Traditional,10–20,35.06,26.9,5.13,13.57,53.6,213.73
41315,6.85,3.77,0.128,29.5,Organic,0–10,35.47,47.81,6.06,9.67,58.65,148.12
41316,6.76,4.12,0.158,26.1,Organic,0–10,44.31,46.11,6.27,11.49,60.47,178.12
41317,7.44,4.47,0.126,35.5,Organic,0–10,58.67,26.54,6.59,9.57,62.39,146.31
41318,7.22,4.38,0.102,42.9,Organic,10–20,42.29,48.54,6.5,8.1,61.63,121.83
41319,6.49,1.87,0.127,14.7,Traditional,0–10,33.34,36.82,4.48,9.52,49.41,146.77
41320,6.5,3.14,0.224,14.0,Traditional,0–10,59.24,20.36,5.55,15.45,55.66,243.77
41321,6.85,2.25,0.159,14.2,Monoculture,10–20,44.51,45.06,4.82,11.47,51.23,178.88
41322,5.73,3.45,0.119,29.0,Monoculture,0–10,34.34,47.35,5.8,9.17,57.42,139.06
41323,7.5,1.7,0.169,10.1,Organic,0–10,33.28,21.26,4.4,12.13,48.5,189.42
41324,6.54,1.97,0.097,20.3,Monoculture,10–20,32.76,36.36,4.51,7.86,49.91,116.65
41325,7.32,4.39,0.11,39.9,Monoculture,10–20,46.63,38.26,6.58,8.65,62.02,130.21
41326,7.43,3.12,0.095,32.8,Monoculture,10–20,33.25,27.55,5.48,7.62,55.65,114.87
41327,6.66,1.7,0.227,7.5,Organic,10–20,42.05,24.86,4.33,15.6,48.44,246.99
41328,5.71,2.38,0.2,11.9,Monoculture,10–20,55.37,33.61,4.95,13.97,52.04,219.86
41329,6.65,2.25,0.21,10.7,Traditional,0–10,41.75,20.23,4.83,14.48,51.24,229.96
41330,6.7,1.81,0.095,19.1,Organic,0–10,51.36,48.33,4.52,7.61,49.15,115.2
41331,7.08,1.21,0.07,17.3,Organic,10–20,49.73,36.42,3.96,6.13,46.02,89.87
41332,5.6,4.43,0.243,18.2,Traditional,0–10,51.52,21.03,6.57,16.6,62.31,263.03
41333,6.43,2.3,0.143,16.1,Traditional,0–10,55.34,46.34,4.82,10.58,51.65,163.03
41334,7.35,2.91,0.063,46.2,Traditional,0–10,45.49,45.09,5.26,5.81,54.44,83.0
41335,7.48,2.41,0.248,9.7,Traditional,0–10,40.39,22.36,4.99,16.83,51.93,268.16
41336,5.88,3.48,0.189,18.4,Traditional,10–20,31.01,21.83,5.74,13.32,57.52,208.41
41337,7.24,3.61,0.07,51.6,Monoculture,10–20,45.77,25.79,5.95,6.23,57.94,90.36
41338,5.79,4.15,0.19,21.8,Traditional,0–10,39.58,29.73,6.35,13.39,60.8,210.02
41339,7.18,2.12,0.104,20.4,Monoculture,10–20,48.13,30.12,4.7,8.17,50.65,124.52
41340,6.05,4.43,0.175,25.3,Traditional,0–10,32.12,27.63,6.55,12.5,62.14,194.58
41341,7.42,3.79,0.219,17.3,Traditional,10–20,44.9,45.88,6.13,15.11,58.97,238.81
41342,6.89,1.67,0.181,9.2,Organic,10–20,35.03,31.74,4.31,12.83,48.31,200.73
41343,6.3,2.76,0.074,37.3,Organic,10–20,36.88,40.44,5.18,6.47,53.88,93.86
41344,6.06,2.19,0.101,21.7,Traditional,0–10,34.34,46.11,4.65,8.05,51.04,120.98
41345,5.97,2.79,0.217,12.9,Monoculture,10–20,37.65,23.59,5.28,14.97,53.89,236.77
41346,6.86,2.09,0.158,13.2,Monoculture,0–10,49.4,32.08,4.71,11.5,50.45,177.7
41347,7.29,1.85,0.065,28.5,Monoculture,0–10,43.95,42.5,4.55,5.93,49.2,85.0
41348,7.01,3.6,0.211,17.1,Traditional,0–10,35.78,34.52,5.92,14.67,57.95,230.88
41349,7.17,2.81,0.057,49.3,Monoculture,10–20,43.52,45.09,5.27,5.43,54.06,77.25
41350,7.06,2.92,0.167,17.5,Monoculture,0–10,50.79,22.9,5.33,12.12,54.62,187.02
41351,7.46,2.49,0.204,12.2,Monoculture,0–10,51.25,34.17,5.05,14.3,52.6,223.87
41352,7.02,4.19,0.179,23.4,Traditional,0–10,39.8,25.96,6.4,12.72,60.83,198.85
41353,5.92,1.17,0.246,4.8,Monoculture,0–10,53.23,22.96,3.87,16.81,45.78,265.81
41354,7.08,3.74,0.163,22.9,Monoculture,0–10,46.53,25.17,6.04,11.78,58.71,182.89
41355,6.14,3.82,0.15,25.5,Organic,0–10,36.23,39.63,6.12,11.08,59.2,169.78
41356,7.49,2.37,0.106,22.4,Organic,0–10,45.8,39.79,4.93,8.34,51.85,126.07
41357,6.25,1.24,0.165,7.5,Traditional,10–20,47.79,44.33,4.04,11.94,46.17,185.09
41358,6.09,3.74,0.247,15.1,Monoculture,10–20,51.56,21.4,6.0,16.7,58.68,266.56
41359,5.98,2.58,0.139,18.6,Monoculture,10–20,49.3,35.95,5.09,10.32,52.91,158.97
41360,6.82,3.17,0.127,25.0,Monoculture,10–20,32.13,43.87,5.5,9.6,55.88,147.17
41361,5.72,3.81,0.185,20.6,Traditional,10–20,54.39,45.63,6.05,13.16,59.29,204.82
41362,7.41,1.58,0.107,14.8,Organic,0–10,57.2,37.23,4.38,8.43,47.99,127.33
41363,6.09,2.28,0.06,38.0,Traditional,0–10,48.85,20.87,4.85,5.61,51.53,79.9
41364,6.09,3.42,0.195,17.5,Monoculture,10–20,35.04,28.63,5.7,13.74,57.14,215.31
41365,5.59,2.2,0.237,9.3,Traditional,0–10,55.0,28.61,4.75,16.29,51.27,257.15
41366,5.99,2.29,0.138,16.6,Monoculture,0–10,51.03,22.51,4.81,10.31,51.33,158.4
41367,6.34,3.6,0.128,28.1,Organic,0–10,58.32,21.41,5.86,9.62,57.82,148.26
41368,6.24,3.61,0.074,48.8,Monoculture,10–20,45.24,22.6,5.84,6.4,58.06,94.08
41369,6.05,3.1,0.082,37.8,Traditional,0–10,40.42,21.46,5.38,6.9,55.58,101.94
41370,5.58,2.44,0.2,12.2,Monoculture,0–10,38.09,35.96,4.94,14.03,52.2,220.0
41371,6.1,2.36,0.247,9.6,Organic,0–10,57.13,43.21,4.9,16.77,51.66,266.9
41372,7.06,2.03,0.075,27.1,Monoculture,10–20,57.87,29.19,4.61,6.59,50.27,94.55
41373,6.38,1.26,0.246,5.1,Organic,0–10,56.46,23.57,3.98,16.74,46.25,266.07
41374,6.08,1.16,0.205,5.7,Traditional,10–20,56.68,43.29,3.92,14.24,45.86,224.96
41375,6.11,4.23,0.225,18.8,Traditional,0–10,46.29,28.73,6.36,15.51,61.09,245.02
41376,6.61,1.45,0.219,6.6,Traditional,10–20,37.38,21.66,4.22,15.16,47.06,239.09
41377,6.1,3.14,0.178,17.6,Organic,0–10,54.17,25.0,5.41,12.73,55.61,198.15
41378,6.76,1.95,0.2,9.8,Organic,0–10,48.93,26.88,4.62,14.02,49.89,220.15
41379,7.48,3.23,0.247,13.1,Monoculture,10–20,43.2,47.21,5.69,16.83,56.22,267.29
41380,5.58,3.44,0.146,23.6,Traditional,10–20,57.45,26.89,5.75,10.69,57.33,166.01
41381,5.84,3.75,0.211,17.8,Traditional,10–20,58.43,31.3,6.07,14.65,58.62,231.06
41382,5.86,1.32,0.157,8.4,Traditional,0–10,55.78,30.43,4.05,11.37,46.59,177.09
41383,6.39,1.36,0.178,7.6,Organic,0–10,41.49,49.56,4.07,12.67,46.93,197.9
41384,5.58,3.82,0.2,19.1,Organic,10–20,49.09,44.39,6.04,14.01,59.09,219.71
41385,6.46,4.27,0.089,48.0,Traditional,10–20,36.47,29.15,6.4,7.33,61.31,108.95
41386,7.36,1.9,0.183,10.4,Organic,0–10,58.34,34.2,4.56,12.98,49.49,202.88
41387,5.52,2.08,0.057,36.5,Traditional,0–10,42.51,31.73,4.67,5.51,50.45,76.96
41388,6.23,4.21,0.114,36.9,Monoculture,10–20,51.92,34.53,6.27,8.84,61.36,133.98
41389,7.02,3.77,0.084,44.9,Organic,0–10,56.82,25.98,5.95,7.01,58.77,103.79
41390,5.81,1.83,0.162,11.3,Monoculture,10–20,35.43,47.37,4.51,11.75,49.25,181.94
41391,5.66,3.04,0.149,20.4,Traditional,0–10,34.66,38.36,5.52,10.95,55.17,168.84
41392,6.76,2.1,0.064,32.8,Organic,10–20,48.9,22.62,4.64,5.89,50.63,84.13
41393,5.52,2.55,0.054,47.2,Traditional,10–20,33.86,32.18,4.94,5.13,52.7,74.35
41394,7.1,3.47,0.07,49.6,Organic,10–20,32.9,27.61,5.77,6.31,57.33,90.02
41395,5.63,1.87,0.157,11.9,Traditional,10–20,49.78,49.96,4.46,11.42,49.51,176.84
41396,6.55,1.26,0.055,22.9,Organic,0–10,57.37,32.76,4.06,5.31,46.19,75.42
41397,6.98,4.48,0.124,36.1,Organic,10–20,43.12,43.47,6.69,9.39,62.46,144.24
41398,5.98,2.49,0.189,13.2,Organic,10–20,37.81,49.86,5.03,13.4,52.57,208.96
41399,5.71,3.56,0.068,52.4,Organic,10–20,50.96,29.32,5.86,6.06,57.87,87.97
41400,5.85,4.49,0.098,45.8,Monoculture,0–10,52.45,35.22,6.56,7.86,62.55,117.86
41401,7.21,1.13,0.175,6.5,Organic,10–20,40.63,33.29,3.9,12.55,45.67,195.1
41402,6.91,2.55,0.214,11.9,Monoculture,0–10,38.88,32.44,5.07,14.8,52.8,233.88
41403,5.9,1.07,0.167,6.4,Organic,10–20,59.52,29.67,3.93,12.04,45.38,186.82
41404,6.93,3.27,0.154,21.2,Monoculture,10–20,46.79,35.51,5.66,11.32,56.4,173.86
41405,6.92,1.58,0.075,21.1,Monoculture,10–20,36.67,45.15,4.28,6.49,48.02,95.05
41406,7.5,4.29,0.173,24.8,Organic,0–10,51.21,34.45,6.41,12.3,61.35,192.88
41407,6.28,4.06,0.09,45.1,Organic,10–20,32.9,36.81,6.22,7.41,60.27,109.86
41408,7.23,3.29,0.094,35.0,Traditional,0–10,32.03,36.37,5.63,7.67,56.47,113.81
41409,6.39,1.56,0.229,6.8,Traditional,0–10,34.4,31.84,4.29,15.64,47.8,248.96
41410,7.3,2.21,0.097,22.8,Monoculture,10–20,39.73,28.41,4.75,7.82,51.05,116.69
41411,5.68,4.43,0.133,33.3,Traditional,10–20,45.99,25.46,6.55,10.01,62.23,152.86
41412,5.85,2.11,0.125,16.9,Monoculture,10–20,46.03,48.79,4.73,9.49,50.48,145.01
41413,7.2,4.48,0.128,35.0,Organic,0–10,49.45,37.93,6.61,9.68,62.39,148.05
41414,7.14,3.88,0.227,17.1,Traditional,0–10,46.53,28.13,6.2,15.58,59.39,246.72
41415,6.11,2.86,0.245,11.7,Traditional,10–20,38.89,39.81,5.22,16.66,54.39,264.95
41416,6.69,3.98,0.108,36.9,Organic,10–20,35.36,29.43,6.23,8.41,59.73,127.87
41417,6.27,4.41,0.215,20.5,Organic,10–20,58.28,31.22,6.56,14.96,62.02,235.27
41418,5.52,2.01,0.065,30.9,Monoculture,10–20,35.63,43.88,4.57,5.91,49.99,85.17
41419,5.55,1.41,0.235,6.0,Organic,10–20,54.66,43.4,4.1,16.15,47.02,254.99
41420,5.61,1.29,0.226,5.7,Organic,10–20,43.47,35.78,4.03,15.58,46.56,245.9
41421,6.69,3.13,0.114,27.5,Traditional,0–10,49.48,46.96,5.52,8.74,55.7,134.1
41422,6.06,2.14,0.247,8.7,Traditional,10–20,36.71,27.07,4.72,16.79,50.68,267.12
41423,5.79,2.35,0.225,10.4,Monoculture,10–20,40.38,44.75,4.85,15.46,51.68,245.01
41424,7.38,1.54,0.16,9.6,Traditional,0–10,51.66,36.03,4.23,11.5,47.61,180.02
41425,5.74,1.3,0.157,8.3,Organic,0–10,55.28,21.38,4.01,11.42,46.47,177.01
41426,6.85,2.12,0.071,29.9,Monoculture,0–10,49.36,23.86,4.71,6.26,50.2,91.23
41427,7.29,1.61,0.055,29.3,Monoculture,0–10,45.65,28.89,4.23,5.29,48.27,75.23
41428,5.83,1.23,0.202,6.1,Organic,0–10,55.45,46.68,3.95,14.12,46.09,221.88
41429,5.93,1.14,0.108,10.6,Monoculture,0–10,50.31,35.01,3.95,8.48,45.73,127.98
41430,6.65,1.21,0.237,5.1,Traditional,0–10,43.34,45.16,4.05,16.25,46.11,256.95
41431,6.52,3.52,0.241,14.6,Monoculture,0–10,41.64,40.29,5.77,16.4,57.63,260.93
41432,6.54,3.14,0.229,13.7,Monoculture,10–20,59.31,45.94,5.58,15.73,55.66,249.03
41433,6.61,3.42,0.066,51.8,Traditional,0–10,51.54,41.57,5.69,6.03,57.22,86.17
41434,7.4,3.86,0.247,15.6,Monoculture,0–10,38.98,36.41,6.14,16.8,59.28,266.72
41435,5.61,3.18,0.092,34.6,Monoculture,0–10,47.69,29.72,5.56,7.55,55.93,112.36
41436,7.02,2.68,0.222,12.1,Traditional,10–20,44.94,22.19,5.14,15.26,53.38,241.84
41437,5.97,3.86,0.241,16.0,Traditional,0–10,50.08,27.92,6.12,16.42,59.23,261.11
41438,6.25,3.19,0.176,18.1,Organic,0–10,39.97,40.08,5.55,12.51,55.93,196.12
41439,5.68,3.45,0.107,32.2,Traditional,0–10,37.89,44.76,5.75,8.48,57.25,127.33
41440,6.39,2.52,0.216,11.7,Monoculture,0–10,36.12,33.54,5.01,14.92,52.48,235.83
41441,7.11,2.58,0.144,17.9,Traditional,0–10,58.15,32.34,5.04,10.66,52.87,163.92
41442,5.7,2.57,0.089,28.9,Monoculture,10–20,34.75,23.52,5.03,7.38,52.81,109.02
41443,6.05,2.0,0.1,20.0,Traditional,0–10,35.75,24.85,4.65,8.04,50.01,119.75
41444,6.25,3.16,0.089,35.5,Monoculture,0–10,32.03,44.52,5.54,7.35,55.77,109.4
41445,5.71,2.54,0.221,11.5,Traditional,0–10,36.49,38.36,4.96,15.24,52.67,241.18
41446,7.02,1.17,0.199,5.9,Monoculture,10–20,58.3,45.26,4.0,13.92,45.79,219.18
41447,7.07,3.45,0.124,27.8,Traditional,0–10,45.42,46.97,5.79,9.47,57.15,144.06
41448,7.17,2.76,0.086,32.1,Traditional,10–20,49.32,31.54,5.23,7.24,53.92,106.15
41449,6.67,1.66,0.137,12.1,Traditional,0–10,30.24,43.87,4.24,10.24,48.26,157.2
41450,6.51,1.2,0.11,10.9,Monoculture,0–10,31.11,21.03,3.97,8.62,45.92,129.81
41451,6.03,1.67,0.09,18.6,Monoculture,10–20,52.19,24.98,4.28,7.38,48.3,110.18
41452,6.81,2.79,0.233,12.0,Traditional,0–10,53.32,45.6,5.26,16.04,53.92,252.89
41453,6.39,1.23,0.074,16.6,Monoculture,10–20,52.12,24.2,3.99,6.45,46.26,93.99
41454,7.44,3.16,0.2,15.8,Monoculture,0–10,41.42,37.54,5.52,14.01,55.98,220.02
41455,7.44,1.95,0.204,9.6,Traditional,10–20,43.12,23.82,4.48,14.27,49.71,224.11
41456,7.31,4.38,0.192,22.8,Organic,10–20,38.21,26.71,6.52,13.57,61.91,212.44
41457,6.22,3.76,0.176,21.4,Organic,0–10,37.49,29.71,6.04,12.6,58.55,196.28
41458,6.24,1.39,0.179,7.8,Organic,10–20,41.42,20.58,4.15,12.73,46.84,199.02
41459,7.21,3.5,0.178,19.7,Monoculture,10–20,34.85,33.38,5.72,12.7,57.5,197.85
41460,6.96,3.91,0.23,17.0,Monoculture,10–20,39.8,38.86,6.14,15.79,59.57,250.26
41461,6.91,4.04,0.11,36.7,Organic,0–10,42.28,48.94,6.17,8.59,60.1,129.94
41462,6.06,2.91,0.217,13.4,Organic,10–20,50.12,32.71,5.35,15.02,54.64,237.25
41463,7.17,4.02,0.081,49.6,Monoculture,0–10,50.56,20.22,6.27,6.85,60.28,101.01
41464,6.66,3.67,0.064,57.3,Traditional,10–20,38.02,36.6,5.96,5.73,58.41,83.9
41465,6.39,2.98,0.136,21.9,Organic,0–10,46.33,23.75,5.45,10.17,54.8,156.07
41466,7.23,2.48,0.083,29.9,Traditional,10–20,59.7,27.71,4.93,7.04,52.3,103.27
41467,6.29,1.01,0.108,9.4,Traditional,10–20,52.24,29.27,3.76,8.47,44.86,128.13
41468,6.81,3.15,0.182,17.3,Traditional,10–20,49.71,26.31,5.53,12.87,55.54,202.27
41469,6.43,1.86,0.248,7.5,Traditional,10–20,49.47,20.12,4.47,16.92,49.49,267.91
41470,6.69,1.8,0.151,11.9,Organic,0–10,50.05,24.84,4.33,11.08,48.87,171.04
41471,5.58,1.5,0.23,6.5,Traditional,0–10,37.92,47.44,4.24,15.79,47.45,250.08
41472,6.42,3.39,0.134,25.3,Organic,10–20,34.47,38.72,5.76,10.14,57.03,153.81
41473,6.61,3.38,0.13,26.0,Monoculture,10–20,31.34,33.57,5.66,9.75,56.95,149.75
41474,6.49,2.46,0.227,10.8,Monoculture,0–10,58.5,21.18,5.01,15.71,52.4,247.32
41475,7.19,2.64,0.112,23.6,Traditional,0–10,32.97,29.24,5.15,8.67,53.29,131.95
41476,6.12,3.66,0.138,26.5,Organic,10–20,43.92,38.35,5.96,10.37,58.34,157.95
41477,7.27,1.54,0.057,27.0,Monoculture,0–10,48.03,43.29,4.17,5.41,47.74,76.94
41478,6.31,1.8,0.239,7.5,Monoculture,0–10,47.54,24.32,4.49,16.33,49.01,259.23
41479,6.89,4.3,0.125,34.4,Traditional,10–20,31.61,47.49,6.42,9.49,61.29,144.95
41480,5.67,4.5,0.158,28.5,Traditional,0–10,58.41,21.43,6.51,11.47,62.56,178.0
41481,5.9,2.79,0.169,16.5,Traditional,0–10,40.09,38.38,5.21,12.11,53.76,189.16
41482,7.02,2.62,0.158,16.6,Traditional,10–20,56.0,36.45,5.13,11.5,53.11,178.35
41483,5.52,1.29,0.133,9.7,Monoculture,10–20,33.46,36.88,4.02,10.05,46.4,152.93
41484,7.44,3.35,0.084,39.9,Traditional,0–10,30.06,22.75,5.68,7.03,56.77,104.03
41485,5.88,2.64,0.181,14.6,Organic,0–10,47.12,39.91,5.1,12.84,53.18,200.74
41486,7.3,2.88,0.24,12.0,Monoculture,10–20,44.21,39.56,5.21,16.36,54.4,259.92
41487,6.53,4.26,0.159,26.8,Organic,0–10,36.22,38.02,6.42,11.59,61.25,178.68
41488,6.63,4.22,0.051,82.7,Traditional,10–20,45.79,46.18,6.37,5.17,61.18,70.66
41489,5.67,4.21,0.114,36.9,Traditional,0–10,40.45,43.64,6.3,8.87,60.82,133.72
41490,6.23,1.34,0.093,14.4,Organic,0–10,54.78,30.68,4.12,7.61,46.82,113.01
41491,5.81,2.34,0.111,21.1,Traditional,0–10,42.03,34.14,4.89,8.66,51.6,131.37
41492,6.55,3.32,0.149,22.3,Monoculture,0–10,30.06,36.11,5.69,10.89,56.47,168.8
41493,6.6,1.48,0.244,6.1,Organic,10–20,31.33,46.25,4.2,16.7,47.2,263.96
41494,6.92,4.29,0.185,23.2,Monoculture,0–10,51.4,40.21,6.41,13.0,61.53,204.95
41495,7.26,3.02,0.129,23.4,Organic,10–20,44.8,21.52,5.38,9.74,55.12,149.07
41496,6.44,3.09,0.222,13.9,Traditional,0–10,48.73,33.93,5.45,15.28,55.43,241.94
41497,5.97,1.44,0.214,6.7,Traditional,0–10,58.82,48.84,4.23,14.83,47.2,234.08
41498,6.17,1.06,0.079,13.4,Traditional,0–10,57.2,35.82,3.78,6.75,45.43,98.8
41499,7.19,3.25,0.137,23.7,Monoculture,0–10,30.81,48.88,5.57,10.28,56.18,157.09
41500,5.79,1.75,0.084,20.8,Organic,0–10,41.15,37.01,4.41,7.04,48.97,103.98
41501,6.75,3.87,0.055,70.4,Monoculture,0–10,35.21,42.15,6.11,5.33,59.25,75.32
41502,5.53,1.17,0.104,11.2,Traditional,0–10,38.31,29.65,3.89,8.27,45.84,123.69
41503,5.99,1.6,0.167,9.6,Organic,10–20,59.28,47.66,4.3,11.98,47.92,187.01
41504,6.68,3.73,0.194,19.2,Traditional,10–20,54.6,22.93,6.0,13.68,58.46,213.78
41505,6.41,1.05,0.174,6.0,Monoculture,10–20,43.33,30.08,3.78,12.43,45.02,193.91
41506,6.49,1.85,0.187,9.9,Organic,0–10,34.0,33.16,4.47,13.23,49.11,206.81
41507,6.82,3.54,0.086,41.2,Traditional,10–20,58.05,38.27,5.9,7.06,57.83,105.74
41508,5.97,3.43,0.064,53.6,Traditional,10–20,33.9,37.12,5.68,5.83,57.27,84.01
41509,6.06,1.71,0.248,6.9,Monoculture,10–20,35.71,41.04,4.42,16.85,48.66,267.94
41510,6.87,3.77,0.068,55.4,Traditional,10–20,51.98,44.68,5.99,6.12,58.75,87.96
41511,6.58,2.47,0.067,36.9,Monoculture,0–10,55.81,28.76,5.0,6.06,52.37,87.11
41512,5.53,3.45,0.07,49.3,Monoculture,0–10,36.47,28.31,5.77,6.11,57.13,89.97
41513,6.84,2.63,0.218,12.1,Monoculture,0–10,48.6,35.23,5.03,15.03,53.1,238.03
41514,6.74,1.03,0.233,4.4,Organic,0–10,55.53,28.76,3.81,16.05,45.16,252.6
41515,5.66,1.02,0.076,13.4,Monoculture,0–10,58.86,41.24,3.8,6.67,45.02,96.24
41516,7.0,4.46,0.192,23.2,Monoculture,0–10,53.21,47.43,6.63,13.48,62.3,212.01
41517,6.54,1.71,0.101,16.9,Organic,0–10,30.7,44.9,4.35,8.03,48.44,121.08
41518,5.91,4.0,0.077,51.9,Organic,10–20,47.92,41.16,6.2,6.67,59.96,96.9
41519,6.62,1.8,0.218,8.3,Organic,0–10,48.12,30.1,4.45,15.08,49.12,237.67
41520,6.69,2.58,0.117,22.1,Traditional,10–20,54.2,34.43,5.07,9.08,52.83,137.08
41521,7.34,4.44,0.239,18.6,Monoculture,10–20,37.34,34.28,6.63,16.33,62.22,259.11
41522,6.98,1.47,0.189,7.8,Organic,10–20,53.0,31.02,4.13,13.37,47.24,209.23
41523,6.1,2.94,0.099,29.7,Monoculture,0–10,37.05,20.11,5.37,7.99,54.57,118.9
41524,5.74,2.27,0.207,11.0,Organic,10–20,44.57,21.6,4.84,14.45,51.26,226.71
41525,7.21,3.0,0.231,13.0,Monoculture,0–10,35.68,26.33,5.37,15.92,55.08,251.25
41526,7.19,2.84,0.203,14.0,Organic,10–20,31.4,43.96,5.33,14.19,54.06,222.73
41527,5.85,1.46,0.075,19.5,Traditional,0–10,58.75,31.39,4.13,6.52,47.31,95.19
41528,5.62,2.99,0.108,27.7,Traditional,10–20,33.09,42.82,5.36,8.52,55.01,127.77
41529,6.92,2.27,0.066,34.4,Monoculture,0–10,36.77,47.25,4.83,6.05,51.39,85.82
41530,6.95,1.9,0.145,13.1,Traditional,10–20,52.22,36.32,4.52,10.75,49.56,164.86
41531,5.85,1.49,0.055,27.1,Monoculture,0–10,36.74,26.99,4.24,5.3,47.44,74.92
41532,6.84,3.33,0.244,13.6,Organic,0–10,36.8,38.29,5.74,16.64,56.71,263.74
41533,6.06,3.51,0.13,27.0,Monoculture,0–10,41.52,28.66,5.75,9.72,57.53,149.92
41534,6.02,3.86,0.211,18.3,Traditional,10–20,47.78,49.97,6.07,14.58,59.24,230.91
41535,6.15,3.86,0.196,19.7,Organic,10–20,30.45,21.37,6.1,13.81,59.31,215.81
41536,6.54,4.48,0.064,70.0,Monoculture,10–20,40.99,42.58,6.57,5.85,62.37,83.72
41537,7.11,1.84,0.173,10.6,Monoculture,10–20,51.3,38.42,4.48,12.35,48.89,193.23
41538,6.5,2.98,0.139,21.4,Organic,10–20,35.18,30.62,5.4,10.49,54.97,158.79
41539,6.1,3.0,0.108,27.8,Organic,0–10,42.33,22.04,5.44,8.54,54.95,127.85
